Queries,No of Overlapping Results,Percent Overlap,Spearman Coefficient
Query1,3,0.3,-12.25
Query2,2,0.2,0.0
Query3,3,0.3,-27.5
Query4,3,0.3,-1.75
Query5,1,0.1,0
Query6,2,0.2,-31.0
Query7,4,0.4,-7.6
Query8,3,0.3,-20.25
Query9,5,0.5,-0.7
Query10,0,0.0,0
Query11,3,0.3,-4.5
Query12,1,0.1,0
Query13,1,0.1,0
Query14,0,0.0,0
Query15,2,0.2,-60.0
Query16,5,0.5,-2.55
Query17,4,0.4,-2.5
Query18,2,0.2,-8.0
Query19,1,0.1,1
Query20,0,0.0,0
Query21,2,0.2,-7.0
Query22,3,0.3,-0.25
Query23,2,0.2,-81.0
Query24,1,0.1,1
Query25,2,0.2,-16.0
Query26,0,0.0,0
Query27,1,0.1,0
Query28,4,0.4,-5.3
Query29,3,0.3,-0.5
Query30,2,0.2,-17.0
Query31,5,0.5,-2.5
Query32,2,0.2,-3.0
Query33,2,0.2,-7.0
Query34,4,0.4,-2.5
Query35,2,0.2,-7.0
Query36,3,0.3,0.0
Query37,0,0.0,0
Query38,1,0.1,0
Query39,1,0.1,1
Query40,5,0.5,0.35
Query41,4,0.4,-3.3
Query42,3,0.3,-3.75
Query43,0,0.0,0
Query44,4,0.4,-1.6
Query45,2,0.2,-24.0
Query46,3,0.3,0.5
Query47,0,0.0,0
Query48,4,0.4,-1.6
Query49,5,0.5,-1.35
Query50,1,0.1,0
Query51,1,0.1,0
Query52,5,0.5,0.4
Query53,3,0.3,-1.75
Query54,2,0.2,-25.0
Query55,4,0.4,-0.30000000000000004
Query56,4,0.4,0.8
Query57,1,0.1,1
Query58,3,0.3,-7.75
Query59,4,0.4,-0.8999999999999999
Query60,1,0.1,0
Query61,0,0.0,0
Query62,0,0.0,0
Query63,4,0.4,-3.2
Query64,2,0.2,-63.0
Query65,1,0.1,0
Query66,1,0.1,0
Query67,2,0.2,-3.0
Query68,3,0.3,-8.0
Query69,0,0.0,0
Query70,4,0.4,-2.4
Query71,3,0.3,-1.75
Query72,0,0.0,0
Query73,0,0.0,0
Query74,3,0.3,-2.5
Query75,3,0.3,-13.75
Query76,5,0.5,-3.0999999999999996
Query77,3,0.3,-11.5
Query78,0,0.0,0
Query79,2,0.2,-12.0
Query80,3,0.3,-9.75
Query81,4,0.4,-4.2
Query82,1,0.1,0
Query83,2,0.2,-35.0
Query84,1,0.1,0
Query85,2,0.2,-96.0
Query86,2,0.2,0.0
Query87,1,0.1,0
Query88,1,0.1,0
Query89,4,0.4,0.0
Query90,4,0.4,-0.5
Query91,2,0.2,-1.0
Query92,3,0.3,-6.5
Query93,1,0.1,0
Query94,3,0.3,-7.75
Query95,4,0.4,-0.5
Query96,2,0.2,-3.0
Query97,1,0.1,0
Query98,2,0.2,0.0
Query99,3,0.3,-11.75
Query100,1,0.1,0
Averages,2.27,0.22700000000000006,-6.930500000000002
